time,value
2025-02-01 16:35:57.750155+00:00,3751
2025-02-01 16:35:59.706313+00:00,4095
2025-02-01 16:36:01.724963+00:00,1531
2025-02-01 16:36:03.774294+00:00,486
2025-02-01 16:36:05.736854+00:00,4095
2025-02-01 16:36:07.873460+00:00,0
2025-02-01 16:36:09.910672+00:00,0
2025-02-01 16:36:11.872251+00:00,4095
2025-02-01 16:36:13.711354+00:00,4095
2025-02-01 16:36:15.861959+00:00,4095
2025-02-01 16:36:17.720025+00:00,4095
2025-02-01 16:36:19.769061+00:00,4095
2025-02-01 16:36:21.718444+00:00,4095
2025-02-01 16:36:23.737560+00:00,4095
2025-02-01 16:36:25.894418+00:00,4095
2025-02-01 16:36:27.717622+00:00,4095
2025-02-01 16:36:29.884444+00:00,3293
2025-02-01 16:36:31.747195+00:00,2147
2025-02-01 16:36:33.884243+00:00,1226
2025-02-01 16:36:35.723587+00:00,183
2025-02-01 16:36:37.853064+00:00,0
2025-02-01 16:36:39.712567+00:00,0
2025-02-01 16:36:41.900906+00:00,0
2025-02-01 16:36:43.701683+00:00,131
2025-02-01 16:36:45.849831+00:00,1182
2025-02-01 16:36:47.899244+00:00,2323
2025-02-01 16:36:49.878883+00:00,3119
2025-02-01 16:36:51.898245+00:00,3575
2025-02-01 16:36:53.735202+00:00,4030
2025-02-01 16:36:55.906862+00:00,4095
2025-02-01 16:36:57.736191+00:00,4095
2025-02-01 16:36:59.875059+00:00,4095
2025-02-01 16:37:01.735005+00:00,4095
2025-02-01 16:37:03.872461+00:00,4095
2025-02-01 16:37:05.713074+00:00,4095
2025-02-01 16:37:07.862271+00:00,4095
2025-02-01 16:37:09.702315+00:00,4095
2025-02-01 16:37:11.684000+00:00,3045
2025-02-01 16:37:13.700383+00:00,2193
2025-02-01 16:37:15.707262+00:00,1339
2025-02-01 16:37:17.898513+00:00,560
2025-02-01 16:37:19.687872+00:00,0
2025-02-01 16:37:21.896935+00:00,0
2025-02-01 16:37:23.842303+00:00,0
2025-02-01 16:37:25.904486+00:00,0
2025-02-01 16:37:27.736103+00:00,545
2025-02-01 16:37:29.875712+00:00,1610
2025-02-01 16:37:31.725168+00:00,2601
2025-02-01 16:37:33.875176+00:00,3241
2025-02-01 16:37:35.702799+00:00,3712
2025-02-01 16:37:37.861877+00:00,4095
2025-02-01 16:37:39.718809+00:00,4095
2025-02-01 16:37:41.872009+00:00,4095
2025-02-01 16:37:43.711985+00:00,4095
2025-02-01 16:37:45.859909+00:00,4095
2025-02-01 16:37:47.908394+00:00,3499
2025-02-01 16:37:49.858308+00:00,2358
2025-02-01 16:37:51.697253+00:00,1582
2025-02-01 16:37:53.856286+00:00,894
2025-02-01 16:37:56.085756+00:00,298
2025-02-01 16:37:57.745803+00:00,0
2025-02-01 16:37:59.884580+00:00,0
2025-02-01 16:38:01.702533+00:00,0
2025-02-01 16:38:03.883217+00:00,0
2025-02-01 16:38:05.696132+00:00,0
2025-02-01 16:38:07.884245+00:00,0
2025-02-01 16:38:09.759906+00:00,0
2025-02-01 16:38:11.881322+00:00,0
2025-02-01 16:38:13.710262+00:00,0
2025-02-01 16:38:15.859008+00:00,0
2025-02-01 16:38:17.907862+00:00,0
2025-02-01 16:38:19.848649+00:00,0
2025-02-01 16:38:21.697153+00:00,0
2025-02-01 16:38:23.846597+00:00,0
2025-02-01 16:38:25.896503+00:00,84
2025-02-01 16:38:27.834595+00:00,4095
2025-02-01 16:38:29.886280+00:00,294
2025-02-01 16:38:31.834388+00:00,491
2025-02-01 16:38:33.793895+00:00,730
2025-02-01 16:38:35.732409+00:00,1168
2025-02-01 16:38:37.693625+00:00,1731
2025-02-01 16:38:39.720646+00:00,2323
2025-02-01 16:38:41.870450+00:00,2980
2025-02-01 16:38:43.719805+00:00,3450
2025-02-01 16:38:45.879241+00:00,3906
2025-02-01 16:38:47.729288+00:00,4095
2025-02-01 16:38:49.880861+00:00,4095
2025-02-01 16:38:51.728678+00:00,4095
2025-02-01 16:38:53.866247+00:00,4095
2025-02-01 16:38:55.706132+00:00,4095
2025-02-01 16:38:57.855698+00:00,4095
2025-02-01 16:38:59.894741+00:00,4095
2025-02-01 16:39:01.754524+00:00,4095
2025-02-01 16:39:03.983032+00:00,4095
2025-02-01 16:39:05.732527+00:00,4095
2025-02-01 16:39:07.882049+00:00,4095
2025-02-01 16:39:09.731595+00:00,4032
2025-02-01 16:39:11.692610+00:00,3473
2025-02-01 16:39:13.691500+00:00,2991
2025-02-01 16:39:15.679724+00:00,2621
2025-02-01 16:39:17.829268+00:00,2115
2025-02-01 16:39:19.700341+00:00,1646
2025-02-01 16:39:21.695858+00:00,1293
2025-02-01 16:39:23.681691+00:00,861
2025-02-01 16:39:25.895598+00:00,357
2025-02-01 16:39:27.683792+00:00,51
2025-02-01 16:39:29.694080+00:00,0
2025-02-01 16:39:31.833776+00:00,0
2025-02-01 16:39:33.691994+00:00,0
2025-02-01 16:39:35.842780+00:00,0
2025-02-01 16:39:37.692482+00:00,0
2025-02-01 16:39:39.691762+00:00,0
2025-02-01 16:39:41.689525+00:00,482
2025-02-01 16:39:43.719535+00:00,1437
2025-02-01 16:39:45.679970+00:00,2549
2025-02-01 16:39:47.729044+00:00,3376
2025-02-01 16:39:49.857077+00:00,4095
2025-02-01 16:39:51.696783+00:00,4095
2025-02-01 16:39:53.865288+00:00,4095
2025-02-01 16:39:55.716442+00:00,4095
2025-02-01 16:39:57.755310+00:00,4095
2025-02-01 16:39:59.767641+00:00,2966
2025-02-01 16:40:01.853113+00:00,1968
2025-02-01 16:40:03.893069+00:00,860
2025-02-01 16:40:05.841256+00:00,2
2025-02-01 16:40:07.891254+00:00,0
2025-02-01 16:40:09.740626+00:00,0
2025-02-01 16:40:11.889911+00:00,272
2025-02-01 16:40:13.729766+00:00,1702
2025-02-01 16:40:15.898891+00:00,2841
2025-02-01 16:40:17.731189+00:00,3557
2025-02-01 16:40:19.867809+00:00,4095
2025-02-01 16:40:21.716465+00:00,4095
2025-02-01 16:40:23.697829+00:00,4095
2025-02-01 16:40:25.706090+00:00,4095
2025-02-01 16:40:27.863744+00:00,4095
2025-02-01 16:40:29.703626+00:00,4095
2025-02-01 16:40:31.706011+00:00,4095
2025-02-01 16:40:33.901784+00:00,3552
2025-02-01 16:40:35.854383+00:00,2865
2025-02-01 16:40:37.900936+00:00,2239
2025-02-01 16:40:39.840676+00:00,1649
2025-02-01 16:40:41.899773+00:00,1169
2025-02-01 16:40:43.729286+00:00,701
2025-02-01 16:40:45.878797+00:00,318
2025-02-01 16:40:47.738817+00:00,48
2025-02-01 16:40:49.879423+00:00,0
2025-02-01 16:40:51.713309+00:00,0
2025-02-01 16:40:53.927114+00:00,0
2025-02-01 16:40:55.715746+00:00,0
2025-02-01 16:40:57.874347+00:00,0
2025-02-01 16:40:59.704061+00:00,0
2025-02-01 16:41:01.851406+00:00,0
2025-02-01 16:41:03.721717+00:00,38
2025-02-01 16:41:05.851420+00:00,464
2025-02-01 16:41:07.890694+00:00,971
2025-02-01 16:41:09.838980+00:00,1663
2025-02-01 16:41:11.888295+00:00,2261
2025-02-01 16:41:13.849421+00:00,2883
2025-02-01 16:41:15.897988+00:00,3376
2025-02-01 16:41:17.727045+00:00,3958
2025-02-01 16:41:19.886376+00:00,4095
2025-02-01 16:41:21.706962+00:00,4095
2025-02-01 16:41:23.873689+00:00,4095
2025-02-01 16:41:25.703957+00:00,4095
2025-02-01 16:41:27.883938+00:00,4095
2025-02-01 17:01:46.188104+00:00,4095
2025-02-01 17:01:46.203677+00:00,4095
2025-02-01 17:01:46.213594+00:00,4095
2025-02-01 17:01:46.228973+00:00,4095
2025-02-01 17:01:46.245192+00:00,4095
2025-02-01 17:01:46.260303+00:00,4095
2025-02-01 17:01:46.274472+00:00,4095
2025-02-01 17:01:46.288344+00:00,4095
2025-02-01 17:01:46.303417+00:00,4095
2025-02-01 17:01:46.318599+00:00,4095
2025-02-01 17:01:46.334097+00:00,4095
2025-02-01 17:02:16.679368+00:00,4095
2025-02-01 17:02:16.697205+00:00,4095
2025-02-01 17:02:16.713871+00:00,4095
2025-02-01 17:02:16.730439+00:00,4095
2025-02-01 17:02:16.747322+00:00,4095
2025-02-01 17:02:16.763892+00:00,4095
2025-02-01 17:02:16.780462+00:00,4095
2025-02-01 17:02:16.796885+00:00,4095
2025-02-01 17:02:16.812933+00:00,4095
2025-02-01 17:02:16.828892+00:00,4095
2025-02-01 17:02:16.845640+00:00,4095
2025-02-01 17:02:29.858567+00:00,2211
2025-02-01 17:02:31.681189+00:00,4095
2025-02-01 17:02:31.698614+00:00,4095
2025-02-01 17:02:31.714942+00:00,4095
2025-02-01 17:02:31.731137+00:00,4095
2025-02-01 17:02:31.746254+00:00,4095
2025-02-01 17:02:31.762740+00:00,4095
2025-02-01 17:02:31.778554+00:00,4095
2025-02-01 17:02:31.793766+00:00,4095
2025-02-01 17:02:31.810320+00:00,4095
2025-02-01 17:02:31.827702+00:00,4095
2025-02-01 17:02:31.842262+00:00,4095
2025-02-01 17:02:34.726476+00:00,2219
2025-02-01 17:02:39.896019+00:00,2891
2025-02-01 17:02:44.737456+00:00,4095
2025-02-01 17:02:49.732260+00:00,2449
2025-02-01 17:02:54.751054+00:00,2226
2025-02-01 17:04:09.318599+00:00,2248
2025-02-01 17:04:14.314034+00:00,2239
2025-02-01 17:04:19.431376+00:00,2242
2025-02-01 17:04:24.319098+00:00,2232
2025-02-01 17:04:47.480536+00:00,2245
2025-02-01 17:04:52.210546+00:00,2246
2025-02-01 17:05:00.269105+00:00,2245
2025-02-01 17:05:02.226856+00:00,3744
2025-02-01 17:05:07.358455+00:00,4095
2025-02-01 17:05:12.216315+00:00,4095
2025-02-01 17:05:17.219942+00:00,2709
2025-02-01 17:05:22.422172+00:00,2635
2025-02-01 17:05:27.218794+00:00,2736
2025-02-01 17:05:32.235629+00:00,2243
2025-02-01 17:05:37.362104+00:00,2215
2025-02-01 17:05:42.313269+00:00,2234
